,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
11368,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Allround,88.89999999999999,56.44917497087038,406.4,69.85,52.81058087648231,457.2,167.05882352941177,167.05882352941177,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
11415,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Offroad,110.0,88.0,457.2,76.19999999999999,63.67651260183442,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
11789,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Sport,90.0,81.0,457.2,80.0,80.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11790,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Sport,90.0,81.0,457.2,80.0,80.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11818,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,0.0,0.0,1.0,Sport,90.0,81.0,457.2,80.0,80.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11874,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Offroad,150.0,105.0,431.79999999999995,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11877,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Offroad,150.0,105.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11880,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Super motard,160.0,96.0,431.79999999999995,120.0,84.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11883,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Offroad,150.0,105.0,457.2,90.0,81.0,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11886,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Super motard,160.0,96.0,431.79999999999995,120.0,84.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
